name_country,name_region,FDI_in,agri_export
Afghanistan,Asia,,17.78810078
Albania,Europe,,0.855647854
Algeria,Africa,,0.042812035
American Samoa,Oceania,,#DIV/0!
Angola,Africa,,0.224488827
Antigua and Barbuda,North America,,1.191585678
Argentina,South America,,0.985115097
Armenia,Asia,,0.442496922
Australia,Oceania,,2.462048198
Austria,Europe,,1.564232599
Azerbaijan,Asia,,0.51840747
Bahamas,North America,,0.662782859
Bahrain,Asia,,0.075055378
Bangladesh,Asia,,#DIV/0!
Barbados,North America,,0.147151409
Belarus,Europe,,2.984854596
Belgium,Europe,,1.219019774
Belize,North America,,1.390940886
Benin,Africa,,58.02048769
Bermuda,North America,,0.021927779
Bhutan,Asia,,#DIV/0!
Bolivia,South America,,0.566431699
Bosnia and Herzegovina,Europe,,5.559695939
Botswana,Africa,,0.097293381
Brazil,South America,,5.309016718
British Virgin Islands,North America,,#DIV/0!
Brunei Darussalam,Asia,,0.025940159
Bulgaria,Europe,,1.170154972
Burkina Faso,Africa,,11.28138908
Burundi,Africa,,0.422066571
Cambodia,Asia,,2.104296707
Cameroon,Africa,,23.871378
Canada,North America,,4.344522227
Cape Verde,Africa,,0.000179236
Cayman Islands,North America,,0.828390157
Central African Republic,Africa,,24.86990899
Chad,Africa,,#DIV/0!
Chile,South America,,6.806729177
China,Asia,,0.400343585
Colombia,South America,,4.275397108
Congo,Africa,,3.844471972
Costa Rica,North America,,1.926722037
Croatia,Europe,,4.527675315
Cuba,North America,,#DIV/0!
Cyprus,Asia,,0.873063911
Czech Republic,Europe,,1.295544439
Democratic People's Republic of Korea,Asia,,#N/A
Democratic Republic of the Congo,Africa,,0.568705621
Denmark,Europe,,2.668056372
Djibouti,Africa,,#DIV/0!
Dominica,North America,,#DIV/0!
Dominican Republic,North America,,0.575235295
Ecuador,South America,,5.49833097
Egypt,Africa,,1.839047942
El Salvador,North America,,0.787717357
Equatorial Guinea,Africa,,#DIV/0!
Eritrea,Africa,,#DIV/0!
Estonia,Europe,,7.092919485
Ethiopia,Africa,,4.607541218
Fiji,Oceania,,5.717569063
Finland,Europe,,7.330821969
France,Europe,,0.936139822
French Guiana,South America,,#N/A
French Polynesia,Oceania,,1.919332907
Gabon,Africa,,#DIV/0!
Gambia,Africa,,12.66905869
Georgia,Asia,,0.840677171
Germany,Europe,,0.760282951
Ghana,Africa,,2.262144973
Greece,Europe,,1.829572363
Grenada,North America,,0.016023787
Guadeloupe,North America,,#N/A
Guam,Oceania,,#DIV/0!
Guatemala,North America,,2.891987058
Guinea,Africa,,1.757976638
Guinea-Bissau,Africa,,#DIV/0!
Guyana,South America,,1.459010571
Haiti,North America,,#DIV/0!
Honduras,North America,,1.336151787
Hungary,Europe,,0.614533969
Iceland,Europe,,0.704030583
India,Asia,,1.42099851
Indonesia,Asia,,5.292674523
Iran (Islamic Republic of),Asia,,0.361133136
"Iran, Islamic Republic of",Asia,,0.361133136
Iraq,Asia,,0.009818
Ireland,Europe,,0.374945648
Israel,Asia,,0.669398308
Italy,Europe,,0.702254139
Ivory Coast,Africa,,9.159069717
Jamaica,North America,,0.167805623
Japan,Asia,,0.679453614
Jordan,Asia,,0.356253654
Kazakhstan,Asia,,0.273028574
Kenya,Africa,,12.62715937
Kiribati,Oceania,,0.74431919
Korea (the Republic of),Asia,,0.910731999
Kuwait,Asia,,0.061076294
Kyrgyzstan,Asia,,2.061440597
Lao People's Democratic Republic,Asia,,7.27742861
Latvia,Europe,,11.12703501
Lebanon,Asia,,0.269696932
Lesotho,Africa,,5.084851158
Liberia,Africa,,#DIV/0!
Libya,Africa,,0.06495596
Lithuania,Europe,,2.983675156
Luxembourg,Europe,,1.689086782
North Macedonia,Europe,,0.47869925
Madagascar,Africa,,2.306029733
Malawi,Africa,,1.418658355
Malaysia,Asia,,1.801996398
Maldives,Asia,,0.01007547
Mali,Africa,,10.79011373
Malta,Europe,,0.106447252
Martinique,North America,,#N/A
Mauritania,Africa,,0.024139711
Mauritius,Africa,,1.036253981
Mexico,North America,,0.224525374
Micronesia (Federated States of),Oceania,,#N/A
Moldova (the Republic of),Europe,,0.608337853
Mongolia,Asia,,4.876645005
Montenegro,Europe,,8.509695253
Montserrat,North America,,#N/A
Morocco,Africa,,0.820570263
Mozambique,Africa,,1.298548011
Myanmar,Asia,,2.376458173
Namibia,Africa,,1.37933422
Nauru,Oceania,,#DIV/0!
Nepal,Asia,,3.331560564
Netherlands,Europe,,2.918951584
New Caledonia,Oceania,,#DIV/0!
New Zealand,Oceania,,11.87810148
Nicaragua,North America,,0.818684521
Niger,Africa,,0.692285924
Nigeria,Africa,,0.15922688
Niue,Oceania,,#N/A
Norway,Europe,,0.830739443
Oman,Asia,,0.023671208
Pakistan,Asia,,1.188090186
Panama,North America,,5.84139029
Papua New Guinea,Oceania,,#DIV/0!
Paraguay,South America,,1.448676303
Peru,South America,,0.91690529
Philippines,Asia,,0.990189605
Poland,Europe,,1.165700703
Portugal,Europe,,2.285876272
Puerto Rico,North America,,#DIV/0!
Qatar,Asia,,0.008976692
Romania,Europe,,1.172328513
Russian Federation,Europe,,2.359296584
Rwanda,Africa,,1.811254442
Saint Kitts And Nevis,North America,,0.085504296
Saint Lucia,North America,,0.192115751
Saint Vincent And The Grenadin,North America,,0.056189278
Sao Tome and Principe,Africa,,0.249290829
Saudi Arabia,Asia,,0.119273966
Senegal,Africa,,1.606521838
Serbia,Europe,,#DIV/0!
Seychelles,Africa,,0.000543453
Sierra Leone,Africa,,8.23202191
Singapore,Asia,,0.525709934
Slovakia,Europe,,#N/A
Slovenia,Europe,,1.807103665
Solomon Islands,Oceania,,69.0507319
Somalia,Africa,,#DIV/0!
South Africa,Africa,,2.209296096
Spain,Europe,,1.051172715
Sri Lanka,Asia,,2.781788155
Sudan,Africa,,#DIV/0!
Suriname,South America,,3.365420717
Eswatini,Africa,,5.446689715
Sweden,Europe,,3.87002816
Switzerland,Europe,,0.149839704
Syrian Arab Republic,Asia,,#DIV/0!
Taiwan (Province of China),Asia,,#N/A
Tajikistan,Asia,,16.22699856
"Tanzania, the United Republic of",Africa,,3.301593438
Thailand,Asia,,4.06141894
Timor-Leste,Asia,,25.05739265
Togo,Africa,,10.39788184
Tokelau,Oceania,,#N/A
Tonga,Oceania,,#DIV/0!
Trinidad And Tobago,North America,,0.025852157
Tunisia,Africa,,0.527082907
Turkey,Asia,,0.490824711
Turkmenistan,Asia,,#DIV/0!
Tuvalu,Oceania,,#DIV/0!
Uganda,Africa,,3.734080143
Ukraine,Europe,,1.864325198
United Arab Emirates,Asia,,0.077102149
United Kingdom,Europe,,0.509675019
United States of America,North America,,2.193124834
Uruguay,South America,,15.18074965
Uzbekistan,Asia,,3.847989887
Vanuatu,Oceania,,#DIV/0!
Venezuela,South America,,#N/A
Viet Nam,Asia,,1.8784622
Wallis And Futuna,Oceania,,#N/A
Western Sahara,Africa,,#N/A
Yemen,Asia,,0.017167202
Zambia,Africa,,1.084547542
Zimbabwe,Africa,,2.405355837
Marshall Islands,Oceania,,#DIV/0!
CENTRAL AMERICA-CARIBBEAN,North America,,1.958692727
